seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power,T1_F,T2_F,T3_F,fluid_in_F,fluid_out_F,P_in_psi,P_out_psi,delta_p,pump_power_calc,pump_cost_per_day,Q_dot,efficiency,delta_T
0.0,708,720,732,485,497,98,111,,,28.71409232770725,28.972691132285092,29.237752535995412,24.530975555613736,24.74334207442797,21.288150320408388,24.11208862821766,13,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
0.1,708,721,731,484,497,106,114,,,28.71409232770725,28.994523708001623,29.21540088056105,24.51327190007072,24.74334207442797,23.02595850982948,24.763766699250567,8,4.88,50.59583999999999,2.507764900494044,62.459016393442624,-0.23007017435725174
0.201,707,717,733,486,497,96,114,,,28.69281423331978,28.90746093070436,29.26015382943649,24.54867772090239,24.74334207442797,20.853698273053112,24.763766699250567,18,4.88,50.59583999999999,2.12184145342884,62.459016393442624,-0.19466435352558165
0.302,707,719,732,484,497,107,112,,,28.69281423331978,28.950903394487796,29.237752535995412,24.51327190007072,24.74334207442797,23.243184533507115,24.329314651895295,5,4.88,50.59583999999999,2.507764900494044,62.459016393442624,-0.23007017435725174
0.402,707,720,731,483,497,96,113,,,28.69281423331978,28.972691132285092,29.21540088056105,24.49556661797709,24.74334207442797,20.853698273053112,24.54654067557293,17,4.88,50.59583999999999,2.7007524753146073,62.459016393442624,-0.2477754564508814
0.502,707,717,731,484,497,102,112,,,28.69281423331978,28.90746093070436,29.21540088056105,24.51327190007072,24.74334207442797,22.15705441511893,24.329314651895295,10,4.88,50.59583999999999,2.507764900494044,62.459016393442624,-0.23007017435725174
0.603,707,719,728,485,497,97,115,,,28.69281423331978,28.950903394487796,29.148639550549603,24.530975555613736,24.74334207442797,21.07092429673075,24.980992722928207,18,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
0.703,707,719,732,485,497,101,112,,,28.69281423331978,28.950903394487796,29.237752535995412,24.530975555613736,24.74334207442797,21.939828391441296,24.329314651895295,11,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
0.804,704,719,730,484,497,103,114,,,28.629219803253477,28.950903394487796,29.193098441947654,24.51327190007072,24.74334207442797,22.374280438796568,24.763766699250567,11,4.88,50.59583999999999,2.507764900494044,62.459016393442624,-0.23007017435725174
0.904,705,719,731,485,498,101,113,,,28.650378305105278,28.950903394487796,29.21540088056105,24.530975555613736,24.76103695727778,21.939828391441296,24.54654067557293,12,4.88,50.59583999999999,2.507669278138093,62.459016393442624,-0.2300614016640452
1.004,707,719,731,485,498,105,112,,,28.69281423331978,28.950903394487796,29.21540088056105,24.530975555613736,24.76103695727778,22.80873248615184,24.329314651895295,7,4.88,50.59583999999999,2.507669278138093,62.459016393442624,-0.2300614016640452
1.105,707,718,731,485,497,101,112,,,28.69281423331978,28.92916011827066,29.21540088056105,24.530975555613736,24.74334207442797,21.939828391441296,24.329314651895295,11,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
1.205,707,719,728,485,497,107,114,,,28.69281423331978,28.950903394487796,29.148639550549603,24.530975555613736,24.74334207442797,23.243184533507115,24.763766699250567,7,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
1.306,703,719,731,484,498,102,112,,,28.608100502281957,28.950903394487796,29.21540088056105,24.51327190007072,24.76103695727778,22.15705441511893,24.329314651895295,10,4.88,50.59583999999999,2.700639123556971,62.459016393442624,-0.24776505720706155
1.407,708,719,731,482,497,106,113,,,28.71409232770725,28.950903394487796,29.21540088056105,24.477859572929162,24.74334207442797,23.02595850982948,24.54654067557293,7,4.88,50.59583999999999,2.8937592663370197,62.459016393442624,-0.26548250149880914
1.508,707,719,728,485,497,100,113,,,28.69281423331978,28.950903394487796,29.148639550549603,24.530975555613736,24.74334207442797,21.722602367763656,24.54654067557293,13,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
1.608,707,716,731,485,496,108,112,,,28.69281423331978,28.885805462222777,29.21540088056105,24.530975555613736,24.725647330794345,23.460410557184748,24.329314651895295,4,4.88,50.59583999999999,2.121922349468639,62.459016393442624,-0.19467177518060907
1.709,706,716,731,485,496,95,114,,,28.671576337599618,28.885805462222777,29.21540088056105,24.530975555613736,24.725647330794345,20.636472249375476,24.763766699250567,19,4.88,50.59583999999999,2.121922349468639,62.459016393442624,-0.19467177518060907
1.809,704,719,731,484,498,101,113,,,28.629219803253477,28.950903394487796,29.21540088056105,24.51327190007072,24.76103695727778,21.939828391441296,24.54654067557293,12,4.88,50.59583999999999,2.700639123556971,62.459016393442624,-0.24776505720706155
1.909,705,718,730,484,497,101,114,,,28.650378305105278,28.92916011827066,29.193098441947654,24.51327190007072,24.74334207442797,21.939828391441296,24.763766699250567,13,4.88,50.59583999999999,2.507764900494044,62.459016393442624,-0.23007017435725174
2.01,705,718,731,485,495,101,112,,,28.650378305105278,28.92916011827066,29.21540088056105,24.530975555613736,24.707952590878392,21.939828391441296,24.329314651895295,11,4.88,50.59583999999999,1.9290496843847507,62.459016393442624,-0.17697703526465602
2.11,706,715,730,484,494,108,114,,,28.671576337599618,28.864193346577167,29.193098441947654,24.51327190007072,24.690257719149884,23.460410557184748,24.763766699250567,6,4.88,50.59583999999999,1.9291454279628852,62.459016393442624,-0.17698581907916378
2.211,706,719,730,485,497,102,114,,,28.671576337599618,28.950903394487796,29.193098441947654,24.530975555613736,24.74334207442797,22.15705441511893,24.763766699250567,12,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
2.311,704,718,729,483,498,106,114,,,28.629219803253477,28.92916011827066,29.17084480300258,24.49556661797709,24.76103695727778,23.02595850982948,24.763766699250567,8,4.88,50.59583999999999,2.8936266983775343,62.459016393442624,-0.2654703393006912
2.412,707,720,728,484,497,100,114,,,28.69281423331978,28.972691132285092,29.148639550549603,24.51327190007072,24.74334207442797,21.722602367763656,24.763766699250567,14,4.88,50.59583999999999,2.507764900494044,62.459016393442624,-0.23007017435725174
2.512,707,719,729,485,494,109,113,,,28.69281423331978,28.950903394487796,29.17084480300258,24.530975555613736,24.690257719149884,23.677636580862384,24.54654067557293,4,4.88,50.59583999999999,1.736175582544007,62.459016393442624,-0.15928216353614744
2.613,705,718,730,483,498,98,112,,,28.650378305105278,28.92916011827066,29.193098441947654,24.49556661797709,24.76103695727778,21.288150320408388,24.329314651895295,14,4.88,50.59583999999999,2.8936266983775343,62.459016393442624,-0.2654703393006912
2.714,706,718,729,485,497,105,113,,,28.671576337599618,28.92916011827066,29.17084480300258,24.530975555613736,24.74334207442797,22.80873248615184,24.54654067557293,8,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
2.814,706,717,731,485,495,96,112,,,28.671576337599618,28.90746093070436,29.21540088056105,24.530975555613736,24.707952590878392,20.853698273053112,24.329314651895295,16,4.88,50.59583999999999,1.9290496843847507,62.459016393442624,-0.17697703526465602
2.915,706,717,730,485,497,102,113,,,28.671576337599618,28.90746093070436,29.193098441947654,24.530975555613736,24.74334207442797,22.15705441511893,24.54654067557293,11,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
3.015,706,719,727,484,497,97,113,,,28.671576337599618,28.950903394487796,29.12648227533316,24.51327190007072,24.74334207442797,21.07092429673075,24.54654067557293,16,4.88,50.59583999999999,2.507764900494044,62.459016393442624,-0.23007017435725174
3.115,706,717,731,486,496,102,113,,,28.671576337599618,28.90746093070436,29.21540088056105,24.54867772090239,24.725647330794345,22.15705441511893,24.54654067557293,11,4.88,50.59583999999999,1.928968747822313,62.459016393442624,-0.17696960989195532
3.216,702,715,730,483,498,96,114,,,28.58702007521157,28.864193346577167,29.193098441947654,24.49556661797709,24.76103695727778,20.853698273053112,24.763766699250567,18,4.88,50.59583999999999,2.8936266983775343,62.459016393442624,-0.2654703393006912
3.316,706,717,728,483,497,101,112,,,28.671576337599618,28.90746093070436,29.148639550549603,24.49556661797709,24.74334207442797,21.939828391441296,24.329314651895295,11,4.88,50.59583999999999,2.7007524753146073,62.459016393442624,-0.2477754564508814
3.417,705,718,730,484,497,106,114,,,28.650378305105278,28.92916011827066,29.193098441947654,24.51327190007072,24.74334207442797,23.02595850982948,24.763766699250567,8,4.88,50.59583999999999,2.507764900494044,62.459016393442624,-0.23007017435725174
3.517,704,719,729,483,497,100,114,,,28.629219803253477,28.950903394487796,29.17084480300258,24.49556661797709,24.74334207442797,21.722602367763656,24.763766699250567,14,4.88,50.59583999999999,2.7007524753146073,62.459016393442624,-0.2477754564508814
3.618,705,715,730,485,497,105,114,,,28.650378305105278,28.864193346577167,29.193098441947654,24.530975555613736,24.74334207442797,22.80873248615184,24.763766699250567,9,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
3.718,705,716,730,485,497,95,114,,,28.650378305105278,28.885805462222777,29.193098441947654,24.530975555613736,24.74334207442797,20.636472249375476,24.763766699250567,19,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
3.819,704,717,729,485,495,102,113,,,28.629219803253477,28.90746093070436,29.17084480300258,24.530975555613736,24.707952590878392,22.15705441511893,24.54654067557293,11,4.88,50.59583999999999,1.9290496843847507,62.459016393442624,-0.17697703526465602
3.919,705,718,729,484,497,107,114,,,28.650378305105278,28.92916011827066,29.17084480300258,24.51327190007072,24.74334207442797,23.243184533507115,24.763766699250567,7,4.88,50.59583999999999,2.507764900494044,62.459016393442624,-0.23007017435725174
4.02,702,718,728,486,496,98,112,,,28.58702007521157,28.92916011827066,29.148639550549603,24.54867772090239,24.725647330794345,21.288150320408388,24.329314651895295,14,4.88,50.59583999999999,1.928968747822313,62.459016393442624,-0.17696960989195532
4.12,704,718,730,485,498,106,114,,,28.629219803253477,28.92916011827066,29.193098441947654,24.530975555613736,24.76103695727778,23.02595850982948,24.763766699250567,8,4.88,50.59583999999999,2.507669278138093,62.459016393442624,-0.2300614016640452
4.221,704,718,729,484,498,99,114,,,28.629219803253477,28.92916011827066,29.17084480300258,24.51327190007072,24.76103695727778,21.50537634408602,24.763766699250567,15,4.88,50.59583999999999,2.700639123556971,62.459016393442624,-0.24776505720706155
4.321,705,718,725,485,497,106,113,,,28.650378305105278,28.92916011827066,29.082310038860555,24.530975555613736,24.74334207442797,23.02595850982948,24.54654067557293,7,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
4.422,705,716,730,485,497,95,113,,,28.650378305105278,28.885805462222777,29.193098441947654,24.530975555613736,24.74334207442797,20.636472249375476,24.54654067557293,18,4.88,50.59583999999999,2.314795055075166,62.459016393442624,-0.2123665188142354
