seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
0.0,322,320,325,316,315,99,126,,
0.1,322,321,323,317,315,100,125,,
0.201,322,319,324,316,316,100,126,,
0.302,321,320,324,317,316,101,124,,
0.402,322,318,322,317,314,102,125,,
0.503,320,318,325,317,316,101,127,,
0.604,322,321,324,317,316,101,127,,
0.704,322,320,325,317,316,101,125,,
0.805,322,320,325,316,316,101,126,,
0.905,322,319,325,316,316,100,124,,
1.006,321,320,324,317,316,100,125,,
1.106,321,320,323,316,316,100,126,,
1.206,322,319,325,317,315,101,125,,
1.307,322,319,325,316,316,101,125,,
1.407,322,320,325,317,316,101,125,,
1.508,320,320,324,317,315,101,125,,
1.608,323,320,324,316,316,101,126,,
1.708,322,320,325,316,316,101,125,,
1.809,322,320,323,317,315,101,126,,
1.909,321,319,323,317,317,101,125,,
2.009,322,320,323,317,316,100,125,,
2.11,322,321,324,317,316,101,125,,
2.211,322,320,324,317,317,100,125,,
2.312,320,320,325,317,316,101,125,,
2.412,322,320,323,316,314,100,126,,
2.513,322,321,325,316,316,101,126,,
2.613,322,319,324,316,316,101,125,,
2.714,321,319,323,316,315,101,126,,
2.815,322,319,324,316,315,101,127,,
2.916,322,320,324,316,316,100,125,,
3.016,374,372,374,366,366,100,126,,
3.117,322,320,324,317,316,100,126,,
3.218,320,319,324,317,316,101,124,,
3.318,321,319,325,316,316,101,125,,
3.419,321,320,325,317,316,101,125,,
3.519,321,319,325,316,315,101,125,,
3.62,321,319,325,316,315,101,126,,
3.72,321,319,324,316,317,100,125,,
3.823,321,320,325,316,316,101,126,,
3.924,322,320,324,317,315,100,126,,
4.024,322,320,323,317,316,100,125,,
4.125,321,320,324,317,317,100,124,,
4.226,320,320,325,316,316,100,124,,
4.327,320,318,325,316,316,101,127,,
4.427,322,320,324,316,314,100,125,,
4.529,322,320,325,315,316,101,124,,
4.631,321,319,325,316,316,101,126,,
4.732,321,320,325,317,316,100,125,,
4.833,322,320,324,316,317,100,125,,
4.933,321,319,325,316,316,100,126,,
5.034,321,319,325,317,316,101,125,,
