seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
0.0,329,328,334,327,325,96,126,,
0.1,330,329,333,325,324,105,120,,
0.201,331,329,333,326,326,96,128,,
0.301,330,329,332,326,325,104,124,,
0.402,328,327,333,324,325,103,124,,
0.503,330,328,332,326,326,103,127,,
0.604,329,327,333,326,324,106,120,,
0.704,329,329,333,326,324,97,130,,
0.805,330,329,332,326,325,104,120,,
0.905,329,329,334,325,325,98,129,,
1.006,330,329,334,325,326,104,123,,
1.106,330,329,333,326,324,97,128,,
1.207,330,328,334,326,324,104,123,,
1.307,330,328,332,327,325,97,126,,
1.407,329,329,333,326,326,104,126,,
1.508,329,329,333,324,325,102,123,,
1.608,330,329,333,326,324,102,126,,
1.709,331,328,332,325,324,108,119,,
1.809,330,328,334,325,325,97,129,,
1.91,329,328,333,326,324,103,120,,
2.01,330,329,333,326,324,98,128,,
2.11,330,328,334,326,325,105,121,,
2.211,329,329,333,327,325,103,127,,
2.311,330,329,333,325,325,102,127,,
2.412,330,327,334,325,325,106,121,,
2.512,329,329,333,325,324,100,128,,
2.612,330,329,332,324,325,108,119,,
2.713,330,328,334,326,323,97,129,,
2.813,329,329,332,326,325,104,122,,
2.914,330,328,333,326,324,97,126,,
3.014,329,327,334,325,325,103,124,,
3.115,329,328,333,326,325,104,125,,
3.215,331,328,333,326,325,103,127,,
3.316,330,329,334,326,325,107,121,,
3.416,330,328,332,326,325,98,126,,
3.517,328,327,333,325,325,107,118,,
3.618,330,328,334,324,325,99,129,,
3.718,330,329,333,326,324,107,119,,
3.819,329,329,334,325,325,97,128,,
3.919,330,329,332,326,324,104,124,,
4.02,330,328,333,326,325,98,127,,
4.12,330,328,333,326,324,104,126,,
4.221,330,327,334,325,325,105,123,,
4.322,330,328,333,326,325,101,128,,
4.422,328,327,334,326,325,107,120,,
4.523,330,329,334,326,325,96,128,,
4.623,329,328,334,326,325,103,121,,
4.724,329,328,332,326,325,96,127,,
4.825,330,328,333,326,324,104,127,,
4.925,375,374,378,371,370,104,121,,
5.026,374,373,377,370,369,100,127,,
5.127,329,328,333,326,325,107,119,,
5.228,330,328,332,325,323,96,129,,
5.328,330,327,333,325,325,104,123,,
5.43,330,327,333,326,325,102,123,,
5.531,330,327,333,325,325,101,126,,
5.635,330,328,334,325,325,103,120,,
5.736,329,327,334,327,325,97,129,,
5.836,330,329,333,324,325,103,123,,
5.939,329,328,333,326,325,98,125,,
6.04,328,329,334,326,325,104,127,,
6.143,330,327,333,325,324,106,120,,
6.244,330,328,333,326,324,99,128,,
6.345,329,327,333,326,324,106,119,,
6.447,330,328,333,326,325,96,129,,
6.548,331,328,332,324,325,102,119,,
6.651,330,328,334,326,325,95,127,,
6.752,328,327,332,325,323,103,123,,
6.853,330,328,333,325,325,97,126,,
6.954,329,326,334,325,325,105,123,,
7.054,328,328,334,324,325,102,127,,
7.155,329,326,334,324,325,103,125,,
7.255,330,328,333,325,325,100,122,,
7.356,329,327,332,325,323,104,128,,
7.456,330,328,333,325,324,105,119,,
7.557,330,328,334,326,325,100,128,,
7.658,330,328,332,325,325,108,120,,
7.758,329,328,333,326,325,97,128,,
7.859,330,327,333,326,324,103,121,,
7.959,329,328,333,325,325,99,127,,
8.06,329,328,334,325,324,104,125,,
8.161,328,328,334,324,325,107,122,,
8.261,330,328,332,325,325,98,128,,
8.362,330,329,333,324,325,103,118,,
8.463,329,328,332,325,323,98,129,,
8.563,329,328,332,325,324,104,124,,
8.664,329,328,334,325,325,105,125,,
8.764,329,329,333,326,324,101,126,,
8.865,328,328,333,326,325,107,120,,
8.966,329,327,332,326,325,97,128,,
9.066,330,328,332,324,324,103,122,,
9.167,329,329,333,326,324,99,127,,
9.267,330,328,332,324,325,104,126,,
9.368,329,328,332,326,323,106,123,,
9.469,328,328,333,325,324,99,126,,
