seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
0.0,211,213,210,1,1,105,99,,
0.101,210,212,211,1,0,105,100,,
0.201,210,212,211,1,1,105,99,,
0.302,209,212,211,2,1,106,100,,
0.403,210,212,211,1,1,104,100,,
0.503,211,212,211,1,0,104,100,,
0.604,210,212,211,1,0,105,101,,
0.704,210,212,211,1,1,105,100,,
0.805,211,212,211,1,1,105,100,,
0.905,210,213,210,1,0,106,100,,
1.006,210,213,211,0,1,105,100,,
1.106,210,213,211,1,1,104,100,,
1.207,210,213,211,1,1,106,99,,
1.307,209,212,210,1,0,104,100,,
1.407,210,212,211,1,1,105,100,,
1.508,210,212,211,1,0,105,100,,
1.608,211,212,211,2,1,105,100,,
1.709,210,212,211,1,1,105,99,,
1.809,211,212,211,1,1,103,101,,
1.91,211,212,211,1,1,105,100,,
2.01,210,212,211,0,1,104,101,,
2.111,210,212,210,1,1,106,101,,
2.211,210,212,211,1,1,104,100,,
2.312,209,212,210,1,1,105,100,,
2.412,210,212,211,1,1,105,100,,
2.513,210,212,210,1,1,104,101,,
2.613,211,211,211,1,1,105,101,,
2.714,210,212,211,1,2,105,101,,
2.814,211,211,211,1,0,105,99,,
2.915,210,212,212,1,1,105,101,,
3.015,210,213,211,1,2,105,100,,
3.115,211,213,210,1,1,105,101,,
3.216,210,213,211,1,1,105,101,,
3.316,211,212,211,1,1,104,101,,
3.417,210,212,211,1,0,105,100,,
3.517,209,212,211,1,1,105,101,,
3.618,211,212,211,1,1,104,101,,
3.718,210,212,211,1,1,105,100,,
3.819,210,213,210,1,1,104,100,,
3.919,210,213,211,1,0,105,99,,
4.02,210,212,211,1,1,105,100,,
4.121,211,213,211,1,0,105,100,,
4.221,210,212,211,1,1,104,100,,
4.322,211,213,210,1,0,105,100,,
4.422,210,212,211,1,0,104,100,,
4.522,211,212,211,1,1,105,100,,
4.623,210,212,211,1,0,105,99,,
4.723,210,213,211,1,1,104,101,,
4.824,210,213,211,1,0,104,100,,
4.924,211,212,211,1,1,104,101,,
5.025,210,212,211,1,1,105,100,,
5.126,211,212,211,1,1,106,100,,
5.227,210,212,211,1,1,105,100,,
5.328,249,249,250,2,1,106,100,,
