seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
0.0,708,720,732,485,497,98,111,,
0.1,708,721,731,484,497,106,114,,
0.201,707,717,733,486,497,96,114,,
0.302,707,719,732,484,497,107,112,,
0.402,707,720,731,483,497,96,113,,
0.502,707,717,731,484,497,102,112,,
0.603,707,719,728,485,497,97,115,,
0.703,707,719,732,485,497,101,112,,
0.804,704,719,730,484,497,103,114,,
0.904,705,719,731,485,498,101,113,,
1.004,707,719,731,485,498,105,112,,
1.105,707,718,731,485,497,101,112,,
1.205,707,719,728,485,497,107,114,,
1.306,703,719,731,484,498,102,112,,
1.407,708,719,731,482,497,106,113,,
1.508,707,719,728,485,497,100,113,,
1.608,707,716,731,485,496,108,112,,
1.709,706,716,731,485,496,95,114,,
1.809,704,719,731,484,498,101,113,,
1.909,705,718,730,484,497,101,114,,
2.01,705,718,731,485,495,101,112,,
2.11,706,715,730,484,494,108,114,,
2.211,706,719,730,485,497,102,114,,
2.311,704,718,729,483,498,106,114,,
2.412,707,720,728,484,497,100,114,,
2.512,707,719,729,485,494,109,113,,
2.613,705,718,730,483,498,98,112,,
2.714,706,718,729,485,497,105,113,,
2.814,706,717,731,485,495,96,112,,
2.915,706,717,730,485,497,102,113,,
3.015,706,719,727,484,497,97,113,,
3.115,706,717,731,486,496,102,113,,
3.216,702,715,730,483,498,96,114,,
3.316,706,717,728,483,497,101,112,,
3.417,705,718,730,484,497,106,114,,
3.517,704,719,729,483,497,100,114,,
3.618,705,715,730,485,497,105,114,,
3.718,705,716,730,485,497,95,114,,
3.819,704,717,729,485,495,102,113,,
3.919,705,718,729,484,497,107,114,,
4.02,702,718,728,486,496,98,112,,
4.12,704,718,730,485,498,106,114,,
4.221,704,718,729,484,498,99,114,,
4.321,705,718,725,485,497,106,113,,
4.422,705,716,730,485,497,95,113,,
4.522,705,717,728,485,497,101,113,,
4.622,705,717,729,486,497,97,114,,
4.723,705,714,729,485,496,101,112,,
4.823,704,713,729,485,496,106,114,,
4.924,701,717,729,484,498,99,113,,
5.024,809,814,826,600,609,107,112,,
5.125,702,715,726,484,496,98,114,,
5.226,786,802,811,570,584,104,113,,
5.327,799,808,814,586,596,96,113,,
5.428,787,803,811,574,587,100,111,,
5.529,791,803,811,571,583,103,114,,
5.63,812,825,828,610,627,100,112,,
5.731,782,792,802,562,574,108,113,,
5.831,705,716,726,485,497,98,113,,
