seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
0.0,315,318,316,,,110,96,310,309
0.1,315,318,316,,,108,104,310,310
0.201,314,318,316,,,110,101,309,311
0.301,315,318,316,,,110,102,310,310
0.402,314,318,316,,,108,107,309,311
0.502,314,318,314,,,112,99,309,310
0.602,314,319,315,,,106,102,308,310
0.703,315,319,316,,,111,97,309,311
0.803,396,399,398,,,105,102,387,391
0.904,409,411,408,,,112,100,402,401
1.005,411,410,411,,,108,103,400,403
1.105,409,411,410,,,111,100,402,404
1.206,410,412,409,,,112,101,400,403
1.307,411,409,410,,,106,106,400,403
1.408,411,410,410,,,112,98,400,403
1.509,314,319,316,,,106,101,310,310
1.609,315,318,317,,,110,101,310,310
1.71,314,318,314,,,111,102,309,310
1.81,313,318,316,,,107,106,308,310
1.911,314,319,316,,,111,99,308,310
2.011,314,317,316,,,105,103,310,310
2.112,314,318,314,,,111,102,309,311
2.213,313,319,315,,,109,102,309,310
2.313,315,318,316,,,108,105,309,310
2.414,314,318,316,,,111,101,309,309
2.514,313,318,316,,,106,102,308,311
2.615,314,319,316,,,111,99,310,311
2.715,314,319,316,,,109,103,310,310
2.816,313,318,316,,,109,106,309,310
2.916,314,317,316,,,109,100,309,309
3.017,314,317,316,,,108,104,310,309
3.117,314,316,316,,,113,99,308,311
3.218,314,318,316,,,103,102,309,310
3.318,315,318,316,,,110,97,310,310
3.418,315,319,316,,,105,103,310,309
3.519,315,318,314,,,111,98,310,310
3.619,314,319,316,,,106,103,309,310
3.719,314,318,315,,,110,101,308,311
3.82,315,318,316,,,112,101,309,310
3.92,315,318,315,,,108,105,310,311
4.02,314,319,316,,,111,98,309,311
4.121,315,318,315,,,105,101,309,311
4.221,314,319,315,,,110,98,309,311
4.321,315,318,314,,,109,103,308,311
4.422,314,318,315,,,108,102,309,311
4.522,314,318,316,,,110,104,310,309
4.622,315,318,316,,,107,106,310,311
4.723,314,318,316,,,111,100,309,310
4.823,315,318,317,,,104,103,310,311
4.923,315,317,317,,,110,99,309,310
5.024,314,318,316,,,108,103,308,311
5.124,313,319,316,,,111,104,308,310
5.224,315,319,315,,,112,100,309,309
5.325,314,318,316,,,107,101,309,310
5.425,315,319,315,,,112,99,309,310
5.526,315,318,315,,,107,103,310,310
5.627,315,318,316,,,109,100,308,311
5.727,313,317,316,,,111,102,309,311
5.828,312,319,316,,,106,107,310,310
5.928,313,317,317,,,112,99,310,311
