seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
0.0,216,218,217,,,105,100,72,72
0.101,216,217,217,,,106,100,72,72
0.202,217,218,216,,,105,100,72,72
0.303,216,218,216,,,106,100,73,72
0.403,217,218,217,,,106,100,73,71
0.504,216,218,217,,,105,100,72,72
0.604,216,218,218,,,105,101,72,72
0.705,216,218,217,,,106,100,72,72
0.805,216,218,217,,,105,101,72,71
0.906,216,217,217,,,105,100,72,72
1.006,261,263,263,,,105,99,75,75
1.107,215,218,217,,,105,99,72,72
1.208,216,218,217,,,106,99,72,72
1.308,267,269,269,,,105,99,75,74
1.409,215,218,217,,,106,99,72,72
1.51,261,262,263,,,105,100,75,75
1.61,216,218,218,,,106,100,72,72
1.711,216,218,217,,,106,99,72,71
1.812,262,261,262,,,106,100,75,74
1.913,268,268,269,,,104,100,75,75
2.013,266,269,269,,,106,99,75,74
2.114,273,275,274,,,107,99,75,75
2.215,260,263,262,,,106,99,74,74
2.316,215,217,218,,,106,99,72,72
2.417,266,269,269,,,106,99,74,75
2.517,273,274,275,,,105,100,75,74
