seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
0.0,298,299,298,,,107,100,301,285
0.1,297,300,298,,,107,99,300,289
0.201,295,299,297,,,106,99,300,289
0.301,296,300,299,,,105,99,301,287
0.402,297,299,299,,,105,100,301,287
0.502,296,299,299,,,106,99,301,288
0.602,297,300,299,,,107,98,301,289
0.703,297,299,298,,,105,100,301,288
0.803,297,300,298,,,106,100,301,282
0.903,296,298,298,,,106,99,300,285
1.004,296,298,296,,,106,100,299,287
1.104,294,299,298,,,106,99,297,287
1.205,297,299,299,,,107,100,301,288
1.305,297,299,299,,,105,100,302,289
1.405,296,300,297,,,107,100,301,288
1.506,296,300,299,,,106,100,301,288
1.606,297,299,299,,,105,99,301,287
1.707,297,299,298,,,107,100,302,290
1.807,297,299,299,,,108,100,302,288
1.908,297,300,299,,,106,100,300,288
2.009,297,299,298,,,108,100,301,288
2.109,296,300,299,,,105,100,301,289
2.21,297,300,298,,,106,100,301,289
2.31,297,298,298,,,106,100,301,287
2.411,297,299,299,,,107,99,302,288
2.511,297,300,299,,,106,101,301,288
2.611,296,300,299,,,105,99,301,289
2.712,297,299,297,,,107,100,302,288
2.812,297,298,299,,,106,100,302,289
2.913,297,300,299,,,106,101,300,288
3.013,296,300,298,,,107,101,302,289
3.114,297,300,299,,,107,100,301,289
3.214,296,300,299,,,105,101,301,287
3.315,296,299,298,,,106,100,302,286
3.415,296,298,298,,,105,100,300,287
3.516,296,299,298,,,106,99,302,289
3.616,297,299,298,,,106,99,301,287
3.717,297,299,299,,,105,100,302,287
3.817,297,300,299,,,106,100,302,288
3.918,297,298,299,,,107,99,301,288
4.018,296,299,299,,,106,100,302,288
4.119,296,298,297,,,105,100,297,285
4.219,296,299,298,,,108,100,298,287
4.319,295,298,295,,,106,100,301,286
4.42,297,299,299,,,106,100,301,288
4.52,297,300,298,,,106,99,301,288
4.621,296,300,299,,,107,100,301,287
4.721,297,299,299,,,105,100,301,287
4.822,297,299,299,,,107,100,302,286
4.922,296,298,299,,,107,100,302,288
5.023,297,300,299,,,107,98,299,289
5.123,363,365,366,,,106,99,366,351
5.224,364,365,365,,,107,100,367,351
5.325,388,387,389,,,107,98,391,372
5.426,355,354,356,,,107,100,359,342
5.527,376,374,377,,,105,99,379,363
5.628,365,363,364,,,106,100,368,353
5.729,364,364,366,,,106,99,368,349
5.83,387,385,388,,,106,99,390,370
5.93,387,387,386,,,107,99,390,370
6.031,385,387,386,,,106,99,389,373
6.133,375,373,376,,,105,99,379,361
6.234,386,386,388,,,105,99,390,371
6.335,351,354,354,,,106,99,355,336
6.435,373,373,375,,,106,100,378,362
6.537,355,356,357,,,103,100,356,339
6.638,374,375,377,,,107,99,377,362
6.739,363,366,365,,,106,99,369,351
6.839,388,387,386,,,105,99,392,372
6.94,387,387,388,,,107,98,390,374
7.042,298,299,298,,,107,99,301,290
7.142,297,299,297,,,107,99,301,289
7.243,296,299,299,,,106,99,302,290
7.343,297,299,299,,,105,99,300,288
7.444,297,300,298,,,107,99,302,287
7.544,297,300,297,,,105,100,300,288
7.645,296,298,299,,,106,100,301,288
7.745,296,300,299,,,106,99,302,288
7.846,296,299,298,,,106,100,301,288
7.946,296,297,299,,,108,99,302,288
8.047,296,298,297,,,104,99,300,286
8.147,297,299,298,,,107,99,300,287
8.248,295,300,297,,,106,100,302,288
8.348,295,299,299,,,106,99,302,289
8.449,296,298,299,,,105,100,301,287
8.549,297,300,298,,,105,99,301,289
8.65,296,300,299,,,107,99,302,289
8.75,294,298,298,,,107,100,300,285
8.851,296,299,297,,,107,99,301,286
8.951,296,300,297,,,106,101,301,288
9.052,296,299,299,,,106,101,302,289
9.153,296,300,298,,,107,100,301,288
9.253,297,299,299,,,107,99,301,290
9.357,297,300,299,,,107,101,302,289
9.459,297,299,297,,,106,100,302,289
9.56,297,300,298,,,106,100,300,287
9.661,297,300,297,,,107,99,302,287
9.761,297,299,299,,,107,99,300,289
9.862,297,300,298,,,105,100,302,285
9.962,297,300,297,,,107,99,301,288
10.063,295,298,299,,,106,100,300,287
10.163,297,299,296,,,107,100,300,286
10.264,297,300,298,,,106,99,301,289
10.364,296,300,298,,,106,100,300,289
10.465,296,298,299,,,108,100,301,288
10.566,297,300,298,,,106,101,301,288
10.666,296,293,299,,,105,99,298,287
10.767,296,299,297,,,106,100,302,287
10.868,297,300,299,,,106,99,301,288
10.969,297,299,298,,,106,100,302,289
11.069,296,299,299,,,106,98,302,287
11.17,296,300,298,,,106,99,300,287
11.27,297,300,299,,,107,99,301,287
11.371,297,298,299,,,106,100,301,285
11.472,296,299,297,,,106,99,302,288
11.573,297,300,299,,,106,100,302,288
11.673,296,300,298,,,106,101,302,287
11.774,297,300,299,,,106,100,302,287
11.874,297,299,297,,,106,100,302,288
11.975,297,299,299,,,106,100,300,289
12.076,297,300,299,,,107,99,301,290
12.177,296,298,299,,,107,99,301,289
12.277,297,299,298,,,107,100,301,288
12.378,296,300,299,,,105,100,303,289
12.478,296,298,299,,,106,99,299,288
12.579,296,299,298,,,107,99,299,287
12.679,296,299,298,,,107,100,302,289
12.78,296,300,299,,,106,99,301,287
12.88,297,298,299,,,106,100,302,289
12.981,297,299,299,,,106,100,301,288
13.081,297,300,299,,,105,100,302,286
13.181,297,300,297,,,107,100,301,289
13.282,296,298,298,,,106,100,300,287
13.382,297,298,298,,,106,100,301,288
13.483,295,300,299,,,108,100,302,289
13.584,297,300,298,,,106,100,302,288
13.685,298,299,299,,,105,101,301,289
13.785,297,299,297,,,107,99,302,288
13.886,297,300,298,,,106,99,302,289
13.987,296,299,299,,,106,99,300,289
14.087,296,299,299,,,107,98,301,287
14.188,297,299,299,,,106,99,302,289
14.288,297,299,298,,,106,100,302,288
14.389,296,300,299,,,106,99,301,287
14.491,296,300,299,,,107,100,301,287
14.592,296,299,299,,,108,99,302,289
14.692,297,299,299,,,107,100,301,289
14.793,297,298,299,,,107,100,302,287
14.893,296,298,299,,,104,100,302,288
14.994,296,299,299,,,105,99,302,287
15.094,297,300,299,,,106,100,301,287
15.195,296,300,299,,,106,99,302,289
15.295,297,300,298,,,107,99,302,287
15.396,298,299,298,,,107,99,300,287
15.496,297,300,298,,,106,100,301,287
15.597,296,300,297,,,106,100,301,288
15.697,297,300,299,,,106,100,301,289
15.798,296,299,298,,,106,99,302,288
15.898,296,299,299,,,107,100,299,289
15.999,296,299,298,,,106,100,300,285
16.099,295,299,298,,,106,99,303,289
16.2,296,299,298,,,106,99,302,289
16.3,298,300,298,,,106,100,302,290
16.401,296,299,299,,,107,100,302,287
16.501,296,299,298,,,106,99,301,288
16.602,296,298,300,,,106,100,302,286
16.703,297,300,299,,,106,100,302,289
16.804,297,300,298,,,107,99,301,288
16.904,297,300,299,,,106,100,301,288
17.005,296,299,300,,,107,99,301,288
17.105,298,298,299,,,106,101,302,287
17.206,297,300,297,,,105,99,302,287
17.307,298,300,299,,,105,100,301,288
17.407,296,300,299,,,106,100,301,288
17.508,297,298,299,,,105,99,302,289
17.608,297,300,298,,,106,99,302,289
17.709,296,300,299,,,106,99,302,287
17.809,296,300,299,,,107,99,301,286
17.91,296,300,299,,,107,100,301,289
18.01,296,300,299,,,105,100,301,286
18.111,295,300,298,,,105,100,299,287
18.211,297,300,297,,,105,99,302,290
18.312,296,300,299,,,107,100,302,287
