seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
0.0,747,759,769,309,374,103,127,,
0.1,747,758,770,309,374,103,127,,
0.201,746,755,769,309,374,104,127,,
0.301,745,756,769,309,373,103,129,,
0.402,742,754,768,309,375,103,128,,
0.503,745,757,769,308,374,103,127,,
0.603,743,757,768,309,375,104,126,,
0.704,743,758,768,308,375,103,128,,
0.804,745,757,769,309,374,103,128,,
0.905,746,757,767,307,375,104,127,,
1.005,746,757,765,309,374,104,127,,
1.105,746,757,767,308,375,104,127,,
1.206,746,754,768,309,375,103,129,,
1.306,746,757,764,309,375,103,128,,
1.407,744,756,767,309,375,103,128,,
1.507,745,757,765,308,375,103,129,,
1.607,746,755,767,309,375,103,128,,
1.708,744,756,764,309,375,103,128,,
1.808,745,757,764,308,375,103,127,,
1.908,744,757,767,307,375,103,129,,
2.009,745,758,767,309,375,105,127,,
2.11,747,756,767,308,374,103,127,,
2.21,744,758,764,309,374,105,128,,
2.311,747,757,765,309,374,105,129,,
2.412,746,757,767,309,375,103,128,,
2.512,744,754,763,309,376,103,128,,
2.613,746,757,767,308,375,104,128,,
2.713,745,756,763,309,374,103,128,,
2.814,745,756,766,310,375,103,128,,
2.914,746,753,767,308,375,105,128,,
3.015,746,756,767,309,374,103,127,,
3.116,741,755,767,309,375,104,129,,
3.216,745,755,766,308,376,103,129,,
3.317,745,756,767,309,374,104,128,,
3.417,743,755,766,309,376,103,127,,
3.518,746,757,764,309,376,105,128,,
3.619,745,754,767,307,376,104,128,,
3.72,745,756,765,310,376,103,128,,
3.821,746,755,765,308,376,103,127,,
3.921,744,755,764,309,376,105,127,,
4.022,744,753,766,309,377,103,128,,
4.122,742,752,766,309,376,103,128,,
4.223,741,753,762,309,377,103,129,,
4.324,745,752,764,308,377,105,128,,
4.424,743,755,764,308,376,104,128,,
4.525,745,752,761,309,376,104,128,,
4.626,743,755,764,309,375,105,127,,
4.727,744,755,766,309,377,104,126,,
4.828,742,752,762,308,374,105,127,,
4.928,743,754,765,308,377,105,128,,
5.029,741,753,762,308,377,105,129,,
5.13,743,755,763,309,376,105,128,,
5.231,745,752,761,307,376,105,129,,
5.331,744,754,764,309,375,105,129,,
5.432,742,754,764,308,377,105,128,,
5.533,743,752,761,308,377,104,128,,
5.634,740,752,760,308,376,104,128,,
5.734,742,755,763,309,377,105,127,,
5.835,744,754,765,308,377,105,128,,
5.936,745,752,765,309,376,105,129,,
6.037,742,750,762,308,377,104,127,,
6.137,742,754,764,309,377,104,129,,
6.238,740,750,762,310,377,104,127,,
6.339,744,753,763,308,377,104,128,,
6.44,742,754,760,307,376,104,127,,
6.541,743,753,765,309,376,104,128,,
6.642,741,754,764,308,376,104,129,,
6.747,742,752,762,309,378,103,127,,
6.847,740,754,763,309,378,103,127,,
6.948,743,753,762,309,377,102,129,,
7.049,740,754,763,309,376,103,129,,
7.149,743,753,764,309,378,103,128,,
7.25,743,754,763,308,377,103,126,,
7.35,740,752,763,309,378,103,128,,
7.451,742,752,763,309,376,104,129,,
7.552,739,752,763,308,378,104,129,,
7.652,743,754,763,308,379,104,128,,
7.753,742,753,763,309,378,103,128,,
7.854,740,749,763,308,378,104,129,,
7.954,740,750,764,310,378,103,127,,
8.055,743,754,762,309,378,103,128,,
8.156,744,750,761,307,378,103,128,,
8.257,742,753,763,308,378,103,127,,
8.357,740,749,763,309,378,104,129,,
8.458,742,751,764,308,379,104,128,,
8.558,742,753,762,309,377,102,128,,
8.659,741,750,763,308,379,104,129,,
8.76,742,752,760,309,377,103,128,,
8.86,743,753,763,309,379,103,127,,
8.961,741,754,762,309,379,104,127,,
9.061,738,752,763,308,379,103,128,,
9.162,739,749,763,309,378,103,128,,
9.262,743,752,760,310,379,104,127,,
9.363,743,752,763,309,378,103,128,,
9.465,743,753,763,309,379,104,129,,
9.566,741,748,763,308,379,103,128,,
9.667,742,752,760,309,378,103,127,,
9.767,742,753,762,310,379,102,127,,
9.868,743,753,762,309,379,102,127,,
9.968,742,751,760,309,379,103,128,,
10.069,743,752,762,309,379,102,128,,
10.17,744,752,760,310,379,103,129,,
10.27,743,751,760,309,378,103,128,,
10.371,741,752,758,307,379,104,128,,
10.474,741,750,761,309,379,104,128,,
10.574,738,750,762,308,379,104,127,,
10.675,742,750,761,309,379,104,128,,
10.775,741,748,763,308,380,103,128,,
10.876,740,751,761,308,379,103,128,,
10.976,739,753,761,309,379,102,128,,
11.077,741,749,762,308,380,103,128,,
11.177,742,751,758,309,379,104,129,,
11.278,743,751,759,309,378,103,128,,
11.378,738,752,762,309,379,103,127,,
11.479,741,751,761,309,379,104,127,,
11.579,742,751,760,309,378,103,129,,
11.68,741,751,761,309,379,104,128,,
11.78,743,751,758,310,378,104,129,,
11.881,739,750,761,308,380,103,129,,
11.981,741,751,762,309,379,104,129,,
12.084,740,749,761,309,379,103,130,,
12.185,741,751,760,309,379,104,128,,
12.285,738,749,761,308,379,103,129,,
12.386,742,752,760,310,379,103,128,,
12.486,741,751,760,309,379,103,128,,
12.587,740,751,760,309,379,102,126,,
12.687,741,748,761,308,380,103,129,,
12.788,740,748,761,308,380,103,128,,
12.888,738,749,760,309,380,103,128,,
