seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
0.0,680,688,695,314,353,101,127,,
0.01,680,685,696,315,352,103,127,,
0.021,681,687,694,314,353,102,128,,
0.032,680,687,692,314,352,102,127,,
0.042,786,790,802,314,353,101,127,,
0.054,789,795,800,394,444,101,127,,
0.065,790,795,800,396,442,102,125,,
0.076,790,792,798,393,445,101,127,,
0.088,679,686,695,315,354,101,127,,
0.098,681,687,695,314,353,101,126,,
0.109,789,792,798,394,441,101,128,,
0.12,786,795,801,394,444,102,129,,
0.131,677,684,696,315,354,101,129,,
0.141,681,687,695,315,353,101,128,,
0.152,680,685,695,314,353,102,127,,
0.163,770,777,783,375,422,101,126,,
0.173,770,779,783,375,422,101,129,,
0.186,770,776,784,375,422,102,128,,
0.197,769,776,783,373,421,102,129,,
0.209,680,687,695,314,353,101,128,,
0.22,681,687,694,315,353,101,127,,
0.23,678,686,696,315,354,101,128,,
0.241,680,687,695,314,354,101,126,,
0.252,736,744,752,349,393,102,127,,
0.263,681,684,750,349,393,101,127,,
0.275,678,684,696,312,353,102,127,,
0.285,680,687,695,313,353,101,127,,
0.296,681,687,695,313,353,101,127,,
0.307,740,742,750,350,393,103,127,,
0.317,738,748,753,349,392,101,128,,
0.329,681,686,693,315,353,102,126,,
0.339,681,687,696,313,353,102,127,,
0.35,680,686,695,314,354,102,129,,
0.361,679,684,697,313,353,102,126,,
0.371,676,688,696,314,353,102,128,,
0.382,681,686,695,313,353,103,126,,
0.393,680,684,695,314,352,102,128,,
0.404,678,684,696,314,353,102,129,,
0.414,680,687,695,315,353,102,127,,
0.425,681,687,692,314,353,102,129,,
0.435,676,687,695,315,353,103,127,,
0.446,680,685,695,314,353,102,127,,
0.456,681,687,695,314,352,101,128,,
0.467,680,684,695,313,354,102,129,,
0.478,681,687,694,314,354,102,128,,
0.488,680,687,695,314,352,102,126,,
0.499,678,687,692,313,353,101,127,,
0.509,681,687,692,313,353,102,128,,
0.52,678,687,695,314,353,102,128,,
0.531,680,689,695,313,352,102,128,,
0.541,681,687,695,314,352,103,127,,
0.552,680,687,693,313,354,102,127,,
0.562,681,687,695,314,353,102,127,,
0.573,681,686,696,313,354,102,127,,
0.583,680,687,695,315,352,102,128,,
0.594,681,684,695,314,353,102,127,,
0.604,679,687,695,314,354,102,126,,
0.614,681,686,695,314,352,102,128,,
0.625,678,687,694,315,353,102,127,,
0.635,680,687,693,315,353,102,126,,
0.645,680,685,696,314,352,102,127,,
0.656,679,687,695,314,354,103,125,,
0.666,679,688,695,313,354,101,127,,
0.677,679,684,695,314,352,102,128,,
