seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
0.0,211,213,211,100,0,1,104,,
0.101,211,213,211,99,0,1,104,,
0.201,210,213,212,100,2,1,106,,
0.302,210,212,210,101,0,2,106,,
0.402,210,213,211,100,1,2,105,,
0.503,209,213,212,101,1,1,104,,
0.603,211,212,211,100,0,2,105,,
0.704,210,213,211,100,1,1,105,,
0.804,211,213,211,99,1,1,105,,
0.905,211,213,211,100,1,2,105,,
1.005,210,212,211,100,1,1,105,,
1.106,210,213,212,101,0,2,104,,
1.206,210,213,211,100,1,2,104,,
1.307,210,211,211,100,1,1,106,,
1.407,210,213,211,100,1,2,105,,
1.507,211,213,211,100,0,1,104,,
1.608,210,212,211,101,0,1,105,,
1.708,211,212,212,101,0,1,105,,
1.809,210,212,211,99,0,1,105,,
1.909,211,212,211,100,1,1,106,,
2.01,210,213,212,100,0,1,105,,
2.11,210,213,211,100,0,2,106,,
2.211,211,212,211,99,0,2,104,,
2.311,211,213,212,100,0,1,105,,
2.412,255,256,255,100,1,2,106,,
2.513,255,256,256,100,2,2,105,,
2.613,267,267,269,99,2,1,104,,
2.714,266,268,268,99,1,2,104,,
2.815,267,267,269,100,1,2,104,,
2.916,267,268,268,100,1,2,106,,
3.017,259,262,262,100,0,1,105,,
3.118,266,268,267,99,1,3,106,,
3.219,211,213,211,100,0,2,106,,
3.32,243,246,245,98,1,2,105,,
3.42,255,256,256,99,1,1,105,,
3.521,260,263,262,100,1,2,105,,
3.622,211,212,210,100,1,2,104,,
3.723,254,256,257,99,1,2,106,,
3.824,210,212,211,100,0,1,105,,
3.924,210,212,212,99,1,1,105,,
4.025,255,256,256,99,1,2,106,,
4.126,261,262,262,100,0,2,105,,
4.227,211,213,211,100,1,1,105,,
4.328,211,212,211,100,0,2,105,,
4.428,255,257,256,99,1,2,105,,
4.529,211,213,212,101,0,1,105,,
4.63,210,213,211,100,1,2,105,,
4.731,210,212,211,100,1,1,105,,
4.832,211,213,211,100,2,2,104,,
4.932,261,261,262,99,1,3,106,,
5.034,261,261,262,99,0,2,105,,
5.135,261,263,261,100,1,2,105,,
5.236,266,268,268,98,1,2,105,,
5.337,267,269,268,99,1,1,105,,
5.438,267,269,268,99,1,2,105,,
5.54,260,262,263,99,1,2,104,,
5.641,262,261,262,99,1,2,105,,
5.742,267,268,269,100,1,2,106,,
5.843,266,267,269,100,1,2,105,,
5.945,210,212,211,100,0,2,105,,
6.045,210,211,213,100,1,2,106,,
6.146,209,213,211,100,0,2,105,,
6.247,211,212,210,99,2,1,105,,
6.348,211,213,212,100,1,1,105,,
6.448,211,212,212,99,0,2,105,,
6.549,209,212,211,101,1,2,106,,
6.65,210,212,211,100,0,2,106,,
6.75,210,213,211,100,1,1,105,,
6.851,211,212,211,101,1,2,105,,
6.951,210,213,211,100,1,2,104,,
7.052,211,212,211,99,1,1,105,,
7.152,210,212,211,100,1,2,105,,
7.253,210,212,210,99,1,2,105,,
7.353,211,212,211,100,0,1,105,,
7.454,211,213,211,100,1,2,105,,
7.554,210,212,211,99,1,2,105,,
7.655,211,211,211,99,1,2,105,,
7.755,211,213,211,100,0,2,105,,
7.856,211,213,211,100,1,2,105,,
7.956,211,213,211,100,1,2,104,,
8.057,210,212,211,100,1,1,105,,
8.157,210,212,211,100,1,2,106,,
8.258,210,212,211,99,0,1,105,,
8.358,210,212,211,99,1,2,105,,
8.459,211,213,210,100,1,2,104,,
8.559,211,212,210,100,1,1,105,,
8.66,210,212,211,100,0,2,104,,
8.761,211,212,211,101,1,1,105,,
8.861,211,213,211,100,1,1,104,,
8.962,211,213,211,100,1,2,105,,
9.062,211,212,211,99,1,2,105,,
9.163,210,213,210,101,0,1,105,,
9.263,211,212,211,100,0,2,104,,
9.364,210,213,211,100,0,1,107,,
9.464,209,212,211,100,1,2,105,,
9.565,210,212,212,99,0,1,106,,
9.665,210,213,211,100,1,2,105,,
9.765,211,212,212,100,1,2,104,,
9.866,211,211,211,101,1,1,106,,
