seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power,T1_F,T2_F,T3_F,fluid_in_F,fluid_out_F,P_in_psi,P_out_psi,delta_p,pump_power_calc,pump_cost_per_day,Q_dot,efficiency,delta_T
0.0,298,299,298,,,107,100,301,285,21.026501321492674,21.047362089997193,21.026501321492674,,,23.243184533507115,21.722602367763656,-7,-4.666669e-05,-0.00048384024191999996,,,
0.1,297,300,298,,,107,99,300,289,21.005602249885555,21.068184893358307,21.026501321492674,,,23.243184533507115,21.50537634408602,-8,-5.333336e-05,-0.0005529602764799999,,,
0.201,295,299,297,,,106,99,300,289,20.963687830335402,21.047362089997193,21.005602249885555,,,23.02595850982948,21.50537634408602,-7,-4.666669e-05,-0.00048384024191999996,,,
0.301,296,300,299,,,105,99,301,287,20.984664534186834,21.068184893358307,21.047362089997193,,,22.80873248615184,21.50537634408602,-6,-4.000002e-05,-0.00041472020736000003,,,
0.402,297,299,299,,,105,100,301,287,21.005602249885555,21.047362089997193,21.047362089997193,,,22.80873248615184,21.722602367763656,-5,-3.333335e-05,-0.0003456001728,,,
0.502,296,299,299,,,106,99,301,288,20.984664534186834,21.047362089997193,21.047362089997193,,,23.02595850982948,21.50537634408602,-7,-4.666669e-05,-0.00048384024191999996,,,
0.602,297,300,299,,,107,98,301,289,21.005602249885555,21.068184893358307,21.047362089997193,,,23.243184533507115,21.288150320408388,-9,-6.000003e-05,-0.0006220803110399999,,,
0.703,297,299,298,,,105,100,301,288,21.005602249885555,21.047362089997193,21.026501321492674,,,22.80873248615184,21.722602367763656,-5,-3.333335e-05,-0.0003456001728,,,
0.803,297,300,298,,,106,100,301,282,21.005602249885555,21.068184893358307,21.026501321492674,,,23.02595850982948,21.722602367763656,-6,-4.000002e-05,-0.00041472020736000003,,,
0.903,296,298,298,,,106,99,300,285,20.984664534186834,21.026501321492674,21.026501321492674,,,23.02595850982948,21.50537634408602,-7,-4.666669e-05,-0.00048384024191999996,,,
1.004,296,298,296,,,106,100,299,287,20.984664534186834,21.026501321492674,20.984664534186834,,,23.02595850982948,21.722602367763656,-6,-4.000002e-05,-0.00041472020736000003,,,
1.104,294,299,298,,,106,99,297,287,20.94267179115434,21.047362089997193,21.026501321492674,,,23.02595850982948,21.50537634408602,-7,-4.666669e-05,-0.00048384024191999996,,,
1.205,297,299,299,,,107,100,301,288,21.005602249885555,21.047362089997193,21.047362089997193,,,23.243184533507115,21.722602367763656,-7,-4.666669e-05,-0.00048384024191999996,,,
