seconds,T1,T2,T3,fluid_in,fluid_out,P_in,P_out,heater_power,pump_power
0.0,210,211,211,71,78,105,99,,
0.101,210,211,210,72,78,105,100,,
0.201,209,211,211,72,77,105,100,,
0.302,210,211,210,71,78,105,100,,
0.403,210,211,211,72,78,105,99,,
0.503,210,211,211,72,77,105,100,,
0.604,210,211,210,72,77,105,100,,
0.704,209,211,211,72,78,105,101,,
0.805,210,212,211,71,78,106,99,,
0.906,209,210,211,72,78,105,100,,
1.006,209,212,211,71,78,105,101,,
1.107,210,212,211,72,78,105,101,,
1.207,210,211,211,72,78,106,100,,
1.308,209,211,211,72,78,105,101,,
1.408,210,211,211,72,77,105,100,,
1.509,209,212,210,72,77,105,100,,
1.609,209,212,210,72,78,105,100,,
1.709,210,211,210,72,77,106,101,,
1.81,209,211,211,72,78,105,101,,
1.91,210,212,210,71,77,105,100,,
2.011,209,211,210,72,78,105,100,,
2.111,209,213,211,72,78,105,101,,
2.212,210,211,211,72,77,105,101,,
2.312,210,212,211,72,78,106,100,,
2.413,210,212,211,72,77,105,100,,
2.513,210,212,210,71,78,105,100,,
2.614,210,212,211,72,78,105,101,,
2.714,210,212,210,72,78,106,100,,
2.815,209,211,210,72,77,105,100,,
2.915,210,211,211,72,78,106,100,,
3.015,209,211,210,72,78,106,100,,
3.116,209,211,211,71,77,105,100,,
3.216,210,211,211,72,78,106,99,,
3.317,209,211,211,71,77,105,101,,
3.417,209,212,210,72,77,106,100,,
3.518,210,212,211,71,78,106,100,,
3.618,210,211,211,72,78,105,101,,
3.72,209,212,210,72,78,106,100,,
3.821,210,210,211,72,78,105,101,,
3.921,209,212,211,72,77,105,100,,
4.022,209,211,210,72,78,105,100,,
4.123,210,211,211,72,78,105,100,,
4.223,209,211,209,72,78,106,101,,
4.324,210,212,210,72,77,105,100,,
4.425,210,212,210,72,78,105,100,,
4.525,210,211,210,72,78,105,100,,
4.626,210,212,210,72,78,105,100,,
4.727,249,250,249,74,81,105,99,,
4.828,209,211,211,72,77,106,100,,
